trial,word,list,assessment,identification
1,resort,distract,correct,rejection
2,trousers,read,correct,identification
3,lesson,silent,correct,identification
4,market,distract,correct,rejection
5,teacher,read,correct,identification
6,garden,distract,correct,rejection
7,queen,distract,correct,rejection
8,afternoon,read,correct,identification
9,record,silent,false,rejection
10,dinner,distract,false,identification
11,foundation,distract,correct,rejection
12,shoulder,read,correct,identification
13,minute,silent,false,rejection
14,school,distract,false,identification
15,amount,silent,correct,identification
16,laugh,distract,correct,rejection
17,partner,distract,false,identification
18,entrance,distract,correct,rejection
19,powder,read,correct,identification
20,village,silent,correct,identification
21,wagon,silent,correct,identification
22,clothes,distract,correct,rejection
23,captain,read,correct,identification
24,beauty,distract,correct,rejection
25,glass,distract,false,identification
26,kettle,distract,false,identification
27,stream,distract,correct,rejection
28,leather,silent,correct,identification
29,judge,read,correct,identification
30,merchant,distract,correct,rejection
31,branch,silent,correct,identification
32,vacation,distract,false,identification
33,winter,distract,correct,rejection
34,direction,silent,false,rejection
35,invention,silent,correct,identification
36,debate,read,false,rejection
37,wheel,read,correct,identification
38,capital,distract,false,identification
39,address,read,false,rejection
40,industry,distract,correct,rejection
Participant gender:['f'],,,,